id,track_name,track_release,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,track_rank,genre
0woKDRMZzsFWeHppNQnGlS,Golden,2023-04-19,Barns Courtney,60,0.586,0.81,6,-7.287,0,0.0484,0.00275,2.95e-05,0.145,0.646,105.015,audio_features,spotify:track:0woKDRMZzsFWeHppNQnGlS,https://api.spotify.com/v1/tracks/0woKDRMZzsFWeHppNQnGlS,https://api.spotify.com/v1/audio-analysis/0woKDRMZzsFWeHppNQnGlS,170523,4,1,Rock
3EEr6l5PYelwkrvvKX7N0X,Shut Up Kiss Me,2016-09-02,Angel Olsen,58,0.375,0.63,7,-5.131,1,0.0453,0.0552,0.0,0.107,0.349,115.728,audio_features,spotify:track:3EEr6l5PYelwkrvvKX7N0X,https://api.spotify.com/v1/tracks/3EEr6l5PYelwkrvvKX7N0X,https://api.spotify.com/v1/audio-analysis/3EEr6l5PYelwkrvvKX7N0X,202200,4,2,Indie / Alternative
1rZsn9K890Goymfl7YIdgY,Mermaids,2023-04-21,Florence + The Machine,62,0.29,0.544,9,-9.192,0,0.0419,0.481,0.0032,0.125,0.0803,117.01,audio_features,spotify:track:1rZsn9K890Goymfl7YIdgY,https://api.spotify.com/v1/tracks/1rZsn9K890Goymfl7YIdgY,https://api.spotify.com/v1/audio-analysis/1rZsn9K890Goymfl7YIdgY,275319,4,3,Pop
2DuhJLdMNSskrd2KF8SRMr,Sad Disco (Pine Studios),2023-02-14,flipturn,46,0.805,0.569,6,-9.346,0,0.028,0.499,0.723,0.0977,0.758,121.03,audio_features,spotify:track:2DuhJLdMNSskrd2KF8SRMr,https://api.spotify.com/v1/tracks/2DuhJLdMNSskrd2KF8SRMr,https://api.spotify.com/v1/audio-analysis/2DuhJLdMNSskrd2KF8SRMr,227486,4,4,Indie / Alternative
3O8ZnG96gpHULyJyZ5dASk,Gold,2023-02-10,Ivan & Alyosha,26,0.62,0.72,11,-6.556,1,0.0373,0.0447,0.000448,0.256,0.528,117.938,audio_features,spotify:track:3O8ZnG96gpHULyJyZ5dASk,https://api.spotify.com/v1/tracks/3O8ZnG96gpHULyJyZ5dASk,https://api.spotify.com/v1/audio-analysis/3O8ZnG96gpHULyJyZ5dASk,237107,4,5,Pop
4XiypEn8iKbeP1TbTqdfk5,Anti-Hero - Roosevelt Remix,2022-11-11,Taylor Swift,49,0.716,0.737,4,-6.763,1,0.0343,0.322,0.000264,0.152,0.804,110.99,audio_features,spotify:track:4XiypEn8iKbeP1TbTqdfk5,https://api.spotify.com/v1/tracks/4XiypEn8iKbeP1TbTqdfk5,https://api.spotify.com/v1/audio-analysis/4XiypEn8iKbeP1TbTqdfk5,299203,4,6,Pop
39cc405lc5WqDnCvmUrP52,Mermaids,2023-04-21,Florence + The Machine,58,0.414,0.537,9,-9.21,0,0.0368,0.434,0.00441,0.127,0.119,117.038,audio_features,spotify:track:39cc405lc5WqDnCvmUrP52,https://api.spotify.com/v1/tracks/39cc405lc5WqDnCvmUrP52,https://api.spotify.com/v1/audio-analysis/39cc405lc5WqDnCvmUrP52,275319,4,7,Pop
5kHMfzgLZP95O9NBy0ku4v,I Can See You (Taylor’s Version) (From The Vault),2023-07-07,Taylor Swift,92,0.694,0.764,6,-4.893,1,0.0337,0.0586,0.0,0.0608,0.819,123.044,audio_features,spotify:track:5kHMfzgLZP95O9NBy0ku4v,https://api.spotify.com/v1/tracks/5kHMfzgLZP95O9NBy0ku4v,https://api.spotify.com/v1/audio-analysis/5kHMfzgLZP95O9NBy0ku4v,273186,4,8,Pop
214nt20w5wOxJnY462klLw,Miss Americana & The Heartbreak Prince,2019-08-23,Taylor Swift,85,0.662,0.747,11,-6.926,0,0.0736,0.028,0.00615,0.138,0.487,150.088,audio_features,spotify:track:214nt20w5wOxJnY462klLw,https://api.spotify.com/v1/tracks/214nt20w5wOxJnY462klLw,https://api.spotify.com/v1/audio-analysis/214nt20w5wOxJnY462klLw,234147,4,9,Pop
5JeZZtqY0loM9UHQVIChby,Some things Cosmic,2011-04-11,Angel Olsen,55,0.214,0.182,8,-13.538,1,0.0368,0.919,0.00465,0.113,0.104,143.171,audio_features,spotify:track:5JeZZtqY0loM9UHQVIChby,https://api.spotify.com/v1/tracks/5JeZZtqY0loM9UHQVIChby,https://api.spotify.com/v1/audio-analysis/5JeZZtqY0loM9UHQVIChby,174867,4,10,Indie / Alternative
